country,iso3,population,areaSqKm,popDensity,roadsMappedKm,geofabrikExtract,popPerExtract,areaPerExtract,buildingsMapped,numberHotTasks
Senegal ,SEN,11987121,196190,61.1,44934.93941,0,0,0,154394,53
Serbia ,SRB,9396411,88361,106.34,73752.45814,44.4,211630.8784,1990.112613,229564,8
Seychelles ,SYC,81541,455,179.21,563.0527794,0,0,0,0,0
Sierra Leone ,SLE,6005250,71740,83.71,37617.23242,28.2,212952.1277,2543.971631,461382,10
Singapore ,SGP,4492150,693,6482.18,5613.584995,0,0,0,47924,0
Slovakia ,SVK,5439448,48845,111.36,90691.62509,162,33576.83951,301.5123457,2250539,0
Slovenia ,SVN,2010347,20273,99.16,45831.95559,111,18111.23423,182.6396396,190956,0
Solomon Islands ,SLB,552438,28450,19.42,1656.448659,0,0,0,7150,1
Somalia ,SOM,8863338,637657,13.9,194321.1384,10.1,877558.2178,63134.35644,9211,0
South Africa ,ZAF,44187637,1219912,36.22,347538.8216,143,309004.4545,8530.853147,890591,27
South Georgia and the South Sandwich Islands,SGS,0,3903,0,10.63063031,0,0,0,73,0
South Sudan,SSD,12340000,619745,19.91,37797.79873,0,0,0,557703,0
Spain ,ESP,40397842,504782,80.03,942495.1799,568,71122.96127,888.7007042,1181762,0
Sri Lanka ,LKA,20222240,65610,308.22,59369.86445,34,594771.7647,1929.705882,473812,26
Sudan ,SDN,41236378,2505810,16.46,77737.93952,0,0,0,61574,39
Suriname ,SUR,439117,163270,2.69,8698.188038,3.8,115557.1053,42965.78947,9462,0
Swaziland ,SWZ,1136334,17363,65.45,11763.19728,0,0,0,440090,15
Sweden ,SWE,9016596,449964,20.04,335492.5017,288,31307.625,1562.375,1452208,0
Switzerland ,CHE,7523934,41290,182.22,157239.0003,265,28392.20377,155.8113208,1977796,0
Syria ,SYR,18881361,185180,101.96,99077.1771,19.5,968274.9231,9496.410256,67338,15
Taiwan ,TWN,23036087,35980,640.25,94141.92874,46.5,495399.7204,773.7634409,278,0
Tajikistan ,TJK,7320815,143100,51.16,24946.61176,9.4,778810.1064,15223.40426,48099,2
Tanzania ,TZA,37445392,945087,39.62,131531.7752,46.2,810506.3203,20456.42857,540738,18
Thailand ,THA,64631595,514000,125.74,316732.088,71,910304.1549,7239.43662,104750,0
Timor-Leste,TLS,1201542,15410,77.97,4055.857985,0,0,0,13113,1
Togo ,TGO,5548702,56785,97.71,22666.06849,0,0,0,288018,19
Tokelau,TKL,1411,10,141.1,2.437294186,0,0,0,111,0
Tonga ,TON,114689,748,153.33,2105.493524,0,0,0,3200,0
Trinidad & Tobago ,TTO,1065842,5128,207.85,10914.37208,0,0,0,6665,1
