country,iso3,population,areaSqKm,popDensity,roadsMappedKm,geofabrikExtract,popPerExtract,areaPerExtract,buildingsMapped,popPerBuilding,numHotTasks
Morocco ,MAR,33241259,446550,74.44,166154.3486,74.1,448599.9865,6026.315789,129848,256.0013169,0
Mozambique ,MOZ,19686505,801590,24.56,84620.53368,86,228912.8488,9320.813953,1925864,10.22216782,24
Namibia ,NAM,2044147,825418,2.48,101177.0818,13.2,154859.6212,62531.66667,53322,38.33590263,7
Nauru ,NRU,13287,21,632.71,74.04347636,0.080078125,165925.4634,262.2439024,1321,10.05828917,0
Nepal ,NPL,28287147,147181,192.19,88683.81997,132,214296.5682,1115.007576,2049016,13.80523481,43
Netherlands ,NLD,16491461,41526,397.14,41738.91427,968,17036.63326,42.89876033,9905775,1.664832989,0
Netherlands Antilles ,ANT,221736,960,230.98,3340.325093,1.9,116703.1579,505.2631579,7956,27.87028658,1
New Caledonia ,NCL,219246,19060,11.5,9838.331991,7,31320.85714,2722.857143,33696,6.506588319,0
New Zealand ,NZL,4076140,268680,15.17,120354.2016,158,25798.35443,1700.506329,437567,9.315464832,0
Nicaragua ,NIC,5570129,129494,43.01,24072.47768,12.4,449203.9516,10443.06452,42356,131.507437,10
Niger ,NER,12525094,1267000,9.89,63741.59998,15.1,829476.4238,83907.28477,92086,136.0151815,16
Nigeria ,NGA,131859731,923768,142.74,287714.5854,49.2,2680075.833,18775.77236,203261,648.7212549,34
Niue,NIU,1190,260,4.58,242.2397659,0.000196457,6057307.961,1323445.437,1263,0.942201108,0
Norfolk Island,NFK,2210,34.6,63.87,89.88340438,0.083984375,26314.4186,411.9813953,653,3.384379786,0
N. Mariana Islands ,MNP,82459,477,172.87,1082.021454,0.471679688,174819.9089,1011.279503,6289,13.11162347,0
Norway ,NOR,4610820,323802,14.24,151049.9861,381,12101.88976,849.8740157,494534,9.323565215,0
North Cyprus,CYN,313626,3355,93.48017884,0,0.00019646,1596386033,475822.9606,6067,511.3283336,0
Oman ,OMN,3102229,212460,14.6,53261.91957,8.4,369312.9762,25292.85714,12900,240.4828682,0
Pakistan ,PAK,165803560,803940,206.24,145431.9403,28.4,5838153.521,28307.74648,135266,1225.759319,2
Palau ,PLW,20579,458,44.93,374.9338112,0.159179688,129281.5706,2877.251534,505,40.75049505,0
"Palestine, State of",PSE,4550368,6220,731.57,20994.93158,20.1,226386.4677,309.4527363,25163,180.8356714,0
Panama ,PAN,3191319,78200,40.81,18107.56944,7.9,403964.4304,9898.734177,24038,132.7614194,0
Papua New Guinea ,PNG,5670544,462840,12.25,21097.53774,4.6,1232726.957,100617.3913,10619,533.9998117,0
Paraguay ,PRY,6506464,406750,16,84693.39246,19.3,337122.487,21075.12953,21866,297.5607793,1
Peru ,PER,28302603,1285220,22.02,144932.6427,52,544280.8269,24715.76923,79006,358.2335899,7
Philippines ,PHL,89468677,300000,298.23,203643.1208,146,612799.1575,2054.794521,2178018,41.07802461,69
Pitcairn,PCN,56,47,1.19,16.13748109,0.000197411,283672.7343,238082.4734,0,0,0
Poland ,POL,38536869,312685,123.25,746538.9061,812,47459.19828,385.0800493,7229042,5.33084038,0
Portugal ,PRT,10605870,92391,114.79,232956.6738,127,83510.7874,727.488189,365062,29.05224318,1
Puerto Rico ,PRI,3927188,13790,284.79,0,26.5,148195.7736,520.3773585,212545,18.47697194,0
Qatar ,QAT,885359,11437,77.41,14558.20189,2.7,327910.7407,4235.925926,7267,121.8328058,0
Reunion ,REU,787584,2517,312.91,6947.211626,25.1,31377.84861,100.2788845,444375,1.772340928,0
Romania ,ROU,22303552,237500,93.91,243303.2622,148,150699.6757,1604.72973,689299,32.3568611,0
Russia ,RUS,142893540,17075200,8.37,2511923.71,1843.2,77524.70703,9263.888889,8684566,16.45373413,0
Rwanda ,RWA,8648248,26338,328.36,16539.97799,6,1441374.667,4389.666667,40086,215.7423539,0
Saint Barth_lemy,BLM,9035,25,361.4,126.7331017,0.651367188,13870.82459,38.3808096,2329,3.879347359,0
Saint Helena ,SHN,7502,413,18.16,170.6029348,0.18,41677.77778,2294.444444,1101,6.813805631,0
Saint Kitts & Nevis ,KNA,39129,261,149.92,645.1026933,0.220703125,177292.4602,1182.584071,642,60.94859813,0
Saint Lucia ,LCA,168458,616,273.47,1088.560191,1.6,105286.25,385,26835,6.277547978,1
Saint Martin (French part),MAF,0,53,0,265.747321,0.599609375,0,88.39087948,15168,0,0
St Pierre & Miquelon ,SPM,7026,242,29.03,181.085762,0.2,35130,580,197,35.66497462,0
Saint Vincent and the Grenadines ,VCT,117848,389,302.95,655.7048542,0.219726563,536339.3422,1770.382222,1871,62.98663816,1
Samoa ,WSM,176908,2944,60.09,2478.749283,0.00019455,909320995.1,15132390.9,30612,5.779040899,4
San Marino ,SMR,29251,61,479.52,394.4863644,0.34375,85093.81818,177.4545455,1383,21.15039769,0
Sao Tome & Principe ,STP,193413,1001,193.22,904.6051609,0.39,495930.7692,2566.666667,3218,60.10348042,0
Saudi Arabia ,SAU,27019731,1960582,13.78,189713.6801,18,1501096.167,108921.2222,38105,709.0862354,0
Senegal ,SEN,11987121,196190,61.1,44934.93941,23.4,512270.1282,8384.188034,154394,77.63981113,53
Serbia ,SRB,9396411,88361,106.34,73752.45814,44.4,211630.8784,1990.112613,229564,40.93155286,8
Seychelles ,SYC,81541,455,179.21,563.0527794,0.32,254815.625,1421.875,0,0,0
Sierra Leone ,SLE,6005250,71740,83.71,37617.23242,27.9,215241.9355,2571.326165,461382,13.01578735,10
Singapore ,SGP,4492150,693,6482.18,5613.584995,5.8,774508.6207,119.4827586,47924,93.73487188,0
Slovakia ,SVK,5439448,48845,111.36,90691.62509,162,33576.83951,301.5123457,2250539,2.41695345,0
Slovenia ,SVN,2010347,20273,99.16,45831.95559,111,18111.23423,182.6396396,190956,10.52780222,0
Solomon Islands ,SLB,552438,28450,19.42,1656.448659,0.749023438,737544.3442,37982.79009,7150,77.26405594,1
Somalia ,SOM,8863338,637657,13.9,194321.1384,7.9,1121941.519,80716.07595,6707,1321.505591,0
Somaliland,SOL,4500000,137600,32.70348837,0,1.9,2368421.053,72421.05263,2126,2116.650988,
South Africa ,ZAF,44187637,1219912,36.22,347538.8216,86.1,513212.9733,14168.5482,890591,49.61608303,27
South Georgia and the South Sandwich Islands,SGS,0,3903,0,10.63063031,0,0,0,73,0,0
South Sudan,SSD,12340000,619745,19.91,37797.79873,32.3,382043.3437,19187.1517,557703,22.12647233,31
Spain ,ESP,40397842,504782,80.03,942495.1799,568,71122.96127,888.7007042,1181762,34.18441446,0
Sri Lanka ,LKA,20222240,65610,308.22,59369.86445,34,594771.7647,1929.705882,473812,42.67988147,26
Sudan ,SDN,41236378,2505810,16.46,77737.93952,13,3172029.077,192754.6154,61574,669.7043882,10
Suriname ,SUR,439117,163270,2.69,8698.188038,3.8,115557.1053,42965.78947,9462,46.40847601,0
Swaziland ,SWZ,1136334,17363,65.45,11763.19728,19.2,59184.0625,904.3229167,440090,2.582049126,15
Sweden ,SWE,9016596,449964,20.04,335492.5017,288,31307.625,1562.375,1452208,6.208887432,0
Switzerland ,CHE,7523934,41290,182.22,157239.0003,265,28392.20377,155.8113208,1977796,3.804201242,0
Syria ,SYR,18881361,185180,101.96,99077.1771,19.5,968274.9231,9496.410256,67338,280.396819,15
Taiwan ,TWN,23036087,35980,640.25,94141.92874,46.5,495399.7204,773.7634409,278,82863.6223,0
Tajikistan ,TJK,7320815,143100,51.16,24946.61176,9.4,778810.1064,15223.40426,48099,152.2030604,2
Tanzania ,TZA,37445392,945087,39.62,131531.7752,45.3,826609.0949,20862.84768,540738,69.24867866,18
